Transaction Date,Settlement Date,Action,Symbol,Description,Quantity,Price,Commission,Fees,Amount,Net Amount,Account,Transaction Type,Order Number,Execution ID,CUSIP
2026-05-01,2026-05-04,Bought,AAPL,APPLE INC,20,184.25,0.00,0.00,-3685.00,-3685.00,ET-001,Trade,ET100001,EX100001,037833100
2026-05-01,2026-05-04,Sold,AAPL,APPLE INC,10,185.40,0.00,0.03,1854.00,1853.97,ET-001,Trade,ET100002,EX100002,037833100
2026-05-01,2026-05-04,Bought,MSFT,MICROSOFT CORP,8,421.30,0.00,0.00,-3370.40,-3370.40,ET-001,Trade,ET100003,EX100003,594918104
2026-05-01,2026-05-04,Sold,MSFT,MICROSOFT CORP,8,420.10,0.00,0.03,3360.80,3360.77,ET-001,Trade,ET100004,EX100004,594918104
2026-05-01,2026-05-01,Deposit,CASH,ACH DEPOSIT,0,0,0.00,0.00,5000.00,5000.00,ET-001,Cash,ET100005,EX100005,
2026-05-02,2026-05-05,Sold,AAPL,APPLE INC,10,186.10,0.00,0.03,1861.00,1860.97,ET-001,Trade,ET100006,EX100006,037833100
2026-05-02,2026-05-05,Bought,QQQ,INVESCO QQQ TRUST,30,438.15,0.00,0.00,-13144.50,-13144.50,ET-001,Trade,ET100007,EX100007,46090E103
2026-05-02,2026-05-05,Sold,QQQ,INVESCO QQQ TRUST,12,439.00,0.00,0.02,5268.00,5267.98,ET-001,Trade,ET100008,EX100008,46090E103
2026-05-02,2026-05-05,Sold,QQQ,INVESCO QQQ TRUST,18,437.60,0.00,0.03,7876.80,7876.77,ET-001,Trade,ET100009,EX100009,46090E103
2026-05-02,2026-05-05,Bought,AMD,ADVANCED MICRO DEVICES,50,152.20,0.00,0.00,-7610.00,-7610.00,ET-001,Trade,ET100010,EX100010,007903107
2026-05-02,2026-05-05,Bought,AMD,ADVANCED MICRO DEVICES,25,151.80,0.00,0.00,-3795.00,-3795.00,ET-001,Trade,ET100011,EX100011,007903107
2026-05-02,2026-05-05,Sold,AMD,ADVANCED MICRO DEVICES,75,153.05,0.00,0.04,11478.75,11478.71,ET-001,Trade,ET100012,EX100012,007903107
2026-05-03,2026-05-03,Dividend,SPY,SPDR S&P 500 ETF,0,0,0.00,0.00,18.42,18.42,ET-001,Dividend,ET100013,EX100013,78462F103
2026-05-03,2026-05-06,Bought,TSLA,TESLA INC,15,238.60,0.00,0.00,-3579.00,-3579.00,ET-001,Trade,ET100014,EX100014,88160R101
2026-05-03,2026-05-06,Sold,TSLA,TESLA INC,20,236.95,0.00,0.04,4739.00,4738.96,ET-001,Trade,ET100015,EX100015,88160R101
2026-05-03,2026-05-06,Bought,TSLA,TESLA INC,5,235.20,0.00,0.02,-1176.00,-1176.02,ET-001,Trade,ET100016,EX100016,88160R101
2026-05-03,2026-05-06,Sold Short,META,META PLATFORMS,12,486.70,0.00,0.02,5840.40,5840.38,ET-001,Trade,ET100017,EX100017,30303M102
2026-05-03,2026-05-06,Bought To Cover,META,META PLATFORMS,12,485.20,0.00,0.02,-5822.40,-5822.42,ET-001,Trade,ET100018,EX100018,30303M102
2026-05-04,2026-05-07,Bought,SPY,SPDR S&P 500 ETF,25,514.80,0.00,0.00,-12870.00,-12870.00,ET-001,Trade,ET100019,EX100019,78462F103
2026-05-04,2026-05-07,Sold,SPY,SPDR S&P 500 ETF,25,514.10,0.00,0.03,12852.50,12852.47,ET-001,Trade,ET100020,EX100020,78462F103
2026-05-04,2026-05-07,Bought,IWM,ISHARES RUSSELL 2000 ETF,60,204.35,0.00,0.00,-12261.00,-12261.00,ET-001,Trade,ET100021,EX100021,464287655
2026-05-04,2026-05-07,Sold,IWM,ISHARES RUSSELL 2000 ETF,60,204.92,0.00,0.04,12295.20,12295.16,ET-001,Trade,ET100022,EX100022,464287655
2026-05-04,2026-05-04,Fee,CASH,MONTHLY ACCOUNT FEE,0,0,0.00,0.00,-5.00,-5.00,ET-001,Fee,ET100023,EX100023,
2026-05-05,2026-05-08,Sold Short,AMZN,AMAZON COM INC,20,181.50,0.00,0.02,3630.00,3629.98,ET-001,Trade,ET100024,EX100024,023135106
2026-05-05,2026-05-08,Bought To Cover,AMZN,AMAZON COM INC,20,182.05,0.00,0.02,-3641.00,-3641.02,ET-001,Trade,ET100025,EX100025,023135106
2026-05-05,2026-05-08,Bought,NFLX,NETFLIX INC,6,623.80,0.00,0.00,-3742.80,-3742.80,ET-001,Trade,ET100026,EX100026,64110L106
2026-05-05,2026-05-08,Sold,NFLX,NETFLIX INC,6,626.10,0.00,0.02,3756.60,3756.58,ET-001,Trade,ET100027,EX100027,64110L106
2026-05-05,2026-05-08,Bought,GOOGL,ALPHABET INC,30,172.15,0.00,0.00,-5164.50,-5164.50,ET-001,Trade,ET100028,EX100028,02079K305
2026-05-05,2026-05-08,Sold,GOOGL,ALPHABET INC,10,171.65,0.00,0.02,1716.50,1716.48,ET-001,Trade,ET100029,EX100029,02079K305
2026-05-06,2026-05-06,Withdrawal,CASH,ACH WITHDRAWAL,0,0,0.00,0.00,-1000.00,-1000.00,ET-001,Cash,ET100030,EX100030,
2026-05-06,2026-05-11,Bought,SMH,VANECK SEMICONDUCTOR ETF,40,236.80,0.00,0.00,-9472.00,-9472.00,ET-001,Trade,ET100031,EX100031,92189F676
2026-05-06,2026-05-11,Sold,SMH,VANECK SEMICONDUCTOR ETF,20,237.60,0.00,0.02,4752.00,4751.98,ET-001,Trade,ET100032,EX100032,92189F676
