Asset Category,Currency,Symbol,Date/Time,Buy/Sell,Quantity,T. Price,Commission,Fee,Realized P/L,Open/Close Indicator,IB Order ID,IB Execution ID
Stocks,USD,SPY,"2026-05-01, 09:31:12",BUY,100,500.00,-1.00,0.03,0.00,O,910001,R100001
Stocks,USD,SPY,"2026-05-01, 10:04:33",SELL,-100,502.10,-1.00,0.04,207.93,C,910002,R100002
Stocks,USD,QQQ,"2026-05-01, 10:20:05",BUY,120,430.00,-1.00,0.03,0.00,O,910003,R100003
Stocks,USD,QQQ,"2026-05-01, 10:48:16",SELL,-50,431.25,-1.00,0.02,61.98,C,910004,R100004
Stocks,USD,QQQ,"2026-05-01, 12:14:42",SELL,-70,432.00,-1.00,0.03,137.94,C,910005,R100005
Stocks,USD,AAPL,"2026-05-01, 13:05:21",BUY,60,184.00,-1.00,0.02,0.00,O,910006,R100006
Stocks,USD,AAPL,"2026-05-01, 13:22:08",BUY,40,183.50,-1.00,0.02,0.00,O,910007,R100007
Stocks,USD,AAPL,"2026-05-01, 15:10:44",SELL,-100,185.20,-1.00,0.04,149.92,C,910008,R100008
Stocks,USD,NVDA,"2026-05-02, 09:44:19",SELL,-30,910.00,-1.00,0.03,0.00,O,910009,R100009
Stocks,USD,NVDA,"2026-05-02, 10:35:51",BUY,10,907.50,-1.00,0.01,24.99,C,910010,R100010
Stocks,USD,NVDA,"2026-05-02, 11:58:24",BUY,20,906.20,-1.00,0.02,75.98,C,910011,R100011
Stocks,USD,TSLA,"2026-05-02, 13:07:35",BUY,80,238.00,-1.00,0.03,0.00,O,910012,R100012
Stocks,USD,TSLA,"2026-05-02, 14:42:18",SELL,-120,236.50,-1.00,0.04,-121.07,C,910013,R100013
Stocks,USD,TSLA,"2026-05-02, 15:21:07",BUY,40,235.20,-1.00,0.02,51.98,C,910014,R100014
Stocks,USD,AMD,"2026-05-03, 09:36:14",BUY,100,152.00,-1.00,0.03,0.00,O,910015,R100015
Stocks,USD,AMD,"2026-05-03, 09:52:40",BUY,50,151.40,-1.00,0.02,0.00,O,910016,R100016
Stocks,USD,AMD,"2026-05-03, 10:26:31",SELL,-75,153.10,-1.00,0.03,112.47,C,910017,R100017
Stocks,USD,AMD,"2026-05-03, 14:03:59",SELL,-75,150.80,-1.00,0.03,-67.56,C,910018,R100018
Stocks,USD,MSFT,"2026-05-03, 11:15:22",SELL,-40,421.20,-1.00,0.02,0.00,O,910019,R100019
Stocks,USD,MSFT,"2026-05-03, 13:09:48",SELL,-20,422.10,-1.00,0.02,0.00,O,910020,R100020
Stocks,USD,MSFT,"2026-05-03, 15:44:15",BUY,60,420.35,-1.00,0.04,71.91,C,910021,R100021
Stocks,USD,META,"2026-05-04, 09:33:04",BUY,30,486.00,-1.00,0.02,0.00,O,910022,R100022
Stocks,USD,META,"2026-05-04, 10:06:37",SELL,-10,487.25,-1.00,0.01,12.49,C,910023,R100023
Stocks,USD,META,"2026-05-04, 10:48:13",SELL,-20,484.20,-1.00,0.02,-36.02,C,910024,R100024
Stocks,USD,IWM,"2026-05-04, 12:18:49",SELL,-200,204.30,-1.00,0.05,0.00,O,910025,R100025
Stocks,USD,IWM,"2026-05-04, 13:02:11",BUY,80,203.70,-1.00,0.03,47.97,C,910026,R100026
Stocks,USD,IWM,"2026-05-04, 15:20:55",BUY,120,205.10,-1.00,0.04,-96.04,C,910027,R100027
Stocks,USD,AMZN,"2026-05-05, 09:41:28",BUY,75,181.20,-1.00,0.03,0.00,O,910028,R100028
Stocks,USD,AMZN,"2026-05-05, 10:15:44",SELL,-75,181.95,-1.00,0.03,54.19,C,910029,R100029
Stocks,USD,GOOGL,"2026-05-05, 11:04:10",BUY,90,172.40,-1.00,0.03,0.00,O,910030,R100030
Stocks,USD,GOOGL,"2026-05-05, 13:31:26",SELL,-40,173.10,-1.00,0.02,27.98,C,910031,R100031
Stocks,USD,NFLX,"2026-05-05, 14:05:52",SELL,-20,626.00,-1.00,0.02,0.00,O,910032,R100032
Stocks,USD,NFLX,"2026-05-05, 15:16:30",BUY,20,624.50,-1.00,0.02,27.96,C,910033,R100033
Stocks,USD,SMH,"2026-05-06, 09:50:17",BUY,110,236.80,-1.00,0.04,0.00,O,910034,R100034
Stocks,USD,SMH,"2026-05-06, 10:44:02",SELL,-55,237.60,-1.00,0.02,43.98,C,910035,R100035
Stocks,USD,XLF,"2026-05-06, 14:29:41",SELL,-150,42.80,-1.00,0.04,0.00,O,910036,R100036
